AUPE Filter LUT,,,
version,0.1,,
date,20250513,,
filter_pos,filter_id,cwl,fwhm
HRC00,HR0,550,100
HRCR,H1R,650,50
HRCG,H2G,550,50
HRCB,H3B,450,50
LWAC1,LP2,568,9
LWAC2,L3B,464,100
LWAC3,L2G,540,88
LWAC4,L1R,641,107
LWAC5,G01,437,28
LWAC6,G02,501,33
LWAC7,G03,533,9
LWAC8,G04,568,9
LWAC9,G05,608,9
LWAC10,G06,665,9
LWAC11,LP1,568,9
RWAC1,RP2,548,254
RWAC2,R3B,464,100
RWAC3,R2G,540,88
RWAC4,R1R,641,107
RWAC5,G07,741,19
RWAC6,G08,769,24
RWAC7,G09,830,41
RWAC8,G10,897,48
RWAC9,G11,941,45
RWAC10,G12,976,46
RWAC11,RP1,548,254
