XRite ColorChecker Measured 10/6/2025 Harry Marsh Aber. Uni. RS350,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D)
350.0,25.4930333333,48.1966666667,18.29,13.9862333333,39.2924,29.1287333333,41.2096,36.0002333333,34.6921666667,21.1187333333,32.3268666667,39.1895,19.1766666667,22.5435,35.2931333333,48.3970666667,45.8570666667,19.2155333333,59.2345333333,35.1619666667,22.9777666667,14.9055666667,10.7705666667,8.2589
351.0,25.3144333333,47.6988333333,18.2579333333,13.9619666667,38.9046666667,28.9051,40.7168333333,35.6699,34.3471333333,20.9932,31.9817666667,38.7801666667,19.1252,22.3778666667,34.8715666667,47.8624333333,45.3603666667,19.0820666667,58.5633,34.8803,22.8472,14.8821,10.7891,8.3149
352.0,25.1225,47.1724333333,18.1865,13.9215,38.5269333333,28.6504,40.1992333333,35.2808666667,34.0069,20.86,31.5935666667,38.3355,19.0614,22.2257,34.4407333333,47.3161666667,44.8950666667,18.9629666667,57.8994,34.6027333333,22.6787666667,14.8675333333,10.8216333333,8.36403333333
353.0,24.9168333333,46.6680666667,18.1033666667,13.8592,38.1568333333,28.3919,39.7538333333,34.8856333333,33.6805666667,20.7188,31.2300666667,37.8968333333,18.9606,22.0317333333,34.0092,46.6915333333,44.3652666667,18.8311333333,57.3004666667,34.3399666667,22.5380666667,14.8949666667,10.8483,8.4463
354.0,24.6964,46.1574,18.0059333333,13.7837,37.7837,28.1191333333,39.3269333333,34.4685333333,33.3367666667,20.5871333333,30.8939666667,37.4441333333,18.8554,21.8294333333,33.5799666667,46.0497333333,43.8300333333,18.7089333333,56.7289666667,34.0665333333,22.4048666667,14.9284666667,10.862,8.5363
355.0,24.4591666667,45.6032333333,17.8934333333,13.7037666667,37.3931666667,27.8159,38.8477666667,34.0083333333,32.9267333333,20.4927,30.5927,36.9494666667,18.7939,21.6655,33.1571666667,45.4793666667,43.3746333333,18.6254333333,56.1489666667,33.7577,22.2579666667,14.9195666667,10.8525666667,8.59986666667
356.0,24.2347,45.0516333333,17.7575666667,13.6657,37.0032666667,27.5471333333,38.3611333333,33.5494666667,32.5845666667,20.3627666667,30.2726333333,36.4721666667,18.6938666667,21.4839333333,32.7377,44.8529,42.8579333333,18.5633666667,55.4131,33.3352,22.0574666667,14.9060333333,10.8431,8.6635
357.0,23.9992,44.4637,17.603,13.6416666667,36.5939,27.2815333333,37.8471666667,33.1065,32.2714333333,20.199,29.9168666667,35.9805666667,18.5601333333,21.2853,32.3200666667,44.1689666667,42.288,18.5051333333,54.559,32.8429333333,21.8302,14.8826666667,10.8379333333,8.72156666667
358.0,23.6876333333,43.7345,17.4373,13.5542666667,36.1179,26.9244,37.2575666667,32.7107666667,31.8786666667,20.0170666667,29.492,35.3971,18.4194,21.0805666667,31.9051,43.4547,41.7208,18.4114666667,53.7126333333,32.3963333333,21.6498,14.8351,10.8426666667,8.7592
359.0,23.3918666667,43.0350333333,17.2988,13.4812,35.6205666667,26.6205,36.6321,32.3013333333,31.4509,19.8274,29.0717333333,34.7574,18.2544666667,20.8646333333,31.4649666667,42.6650333333,41.0515333333,18.3108666667,52.8027,31.9671333333,21.4547,14.7675666667,10.8541666667,8.78323333333
360.0,23.1199333333,42.3728,17.1903666667,13.4308333333,35.1063666667,26.378,35.9819333333,31.8686,30.9987333333,19.6410333333,28.6622333333,34.0901666667,18.0750666667,20.6386333333,31.0045333333,41.8125,40.2912666667,18.2083666667,51.829,31.5558,21.2478666667,14.6875333333,10.8735666667,8.79693333333
361.0,22.8301,41.6236333333,17.0862,13.3864666667,34.5517,26.1057,35.3339666667,31.4069666667,30.5535666667,19.5176666667,28.2248666667,33.5438333333,17.9532333333,20.4086666667,30.5897,41.0033666667,39.6017666667,18.1098333333,50.8220333333,31.172,21.0986,14.6344,10.9086333333,8.81303333333
362.0,22.5432666667,40.8524,16.9919666667,13.3328,34.0190333333,25.8450666667,34.6933,30.9679666667,30.1168333333,19.3778,27.7844666667,33.017,17.8499666667,20.1911,30.1571666667,40.2434333333,38.9444333333,18.0137333333,49.8743,30.8222333333,20.9736,14.5983,10.9607,8.83436666667
363.0,22.2658333333,40.0852,16.909,13.2643,33.5322,25.6062666667,34.0666666667,30.5740333333,29.6903,19.1932333333,27.3527333333,32.4729333333,17.7500333333,19.9931,29.6821666667,39.5386666667,38.3106666667,17.9198666667,49.0289666667,30.5042333333,20.8609,14.5750666667,11.0285,8.86313333333
364.0,21.9823333333,39.3335,16.8526333333,13.2144333333,33.0327666667,25.3381333333,33.4976333333,30.2159,29.2568333333,19.0376666667,26.9534,31.9455333333,17.6449666667,19.8113333333,29.1549666667,38.8664333333,37.7116333333,17.8337666667,48.2993,30.1603666667,20.7820333333,14.5492,11.0957,8.9053
365.0,21.7050333333,38.6446333333,16.8195666667,13.1657666667,32.5439333333,25.0767333333,32.9303,29.8941666667,28.8437333333,18.9079666667,26.5841333333,31.4576333333,17.5515,19.6177,28.6371,38.2227666667,37.1354333333,17.7357,47.5831666667,29.8036666667,20.6965,14.5161333333,11.1492333333,8.9436
366.0,21.4419333333,38.0544,16.8070666667,13.1065,32.0793,24.8475,32.3217333333,29.6074666667,28.4703333333,18.805,26.2437666667,31.0275666667,17.4818333333,19.3893333333,28.1760666667,37.6003333333,36.5702333333,17.6102333333,46.7971333333,29.4399,20.5736,14.4707666667,11.1776333333,8.9646
367.0,21.2052666667,37.4862,16.7871666667,13.0436333333,31.6389666667,24.5994333333,31.7459,29.2794333333,28.1087,18.697,25.8696333333,30.5758333333,17.4099333333,19.2041,27.7386,37.0431,36.0918,17.5100666667,46.1072333333,29.1504666667,20.4435,14.4526333333,11.2376333333,8.9919
368.0,20.9832,36.9681,16.7673666667,12.9765666667,31.2379333333,24.3609333333,31.2370333333,28.9564,27.7686333333,18.5938333333,25.5241666667,30.1373666667,17.3387333333,19.0459333333,27.3318333333,36.5296333333,35.6621,17.4247333333,45.5188,28.9145666667,20.3265333333,14.4566,11.3027,9.0304
369.0,20.7587,36.5413333333,16.7581,12.9053333333,30.8976666667,24.1710333333,30.8426666667,28.7057,27.4602666667,18.5097,25.2953,29.7627333333,17.2681666667,18.8936666667,26.9656333333,36.0306666667,35.2253,17.338,45.0447,28.7084,20.2545,14.4749,11.3386,9.0885
370.0,20.5475,36.0631666667,16.7396333333,12.8228,30.5498333333,23.9717333333,30.4686,28.3981333333,27.1778666667,18.4140333333,25.0308666667,29.3401666667,17.2355666667,18.7525666667,26.5877666667,35.5377333333,34.8424,17.2834,44.5531333333,28.4691,20.1518333333,14.5122333333,11.3627,9.1359
371.0,20.3495666667,35.5559,16.7082333333,12.7426666667,30.2047,23.7687,30.0996,28.0542,26.9208666667,18.3027,24.7373666667,28.9069333333,17.2244666667,18.6178666667,26.2187333333,35.0371,34.5050666667,17.2522,44.0321,28.2058666667,20.0275666667,14.5611333333,11.3759333333,9.17283333333
372.0,20.1685666667,35.1009666667,16.6595666667,12.7018333333,29.8969666667,23.5863,29.7243333333,27.7404,26.6916333333,18.1684,24.4579333333,28.5785,17.1892333333,18.4775333333,25.9205,34.5014666667,34.1921666667,17.2188,43.4851,27.9467666667,19.9105,14.6049333333,11.3766333333,9.20413333333
373.0,19.9541666667,34.6158,16.5972666667,12.6429333333,29.5991333333,23.3886,29.2854333333,27.4408666667,26.4449333333,18.0439,24.1507333333,28.1998333333,17.1537,18.3406,25.6071666667,33.9528333333,33.8417333333,17.1855333333,42.875,27.7185666667,19.8211,14.6396333333,11.3854666667,9.23853333333
374.0,19.7086,34.0958333333,16.5306,12.5660333333,29.3057333333,23.1822666667,28.7852,27.1466,26.1770666667,17.9342333333,23.8114,27.7589666667,17.1198666667,18.2030666667,25.2652,33.3814333333,33.4464,17.1507,42.2042666667,27.5216,19.7570333333,14.6701666667,11.4063666667,9.27603333333
