PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
340.02,113.547,115.039,-33.207,27.916,10.917,91.096,11.371,-197.509
340.4,113.547,115.039,-33.207,27.916,10.917,91.096,11.371,-197.509
340.77,113.547,115.039,-33.207,27.916,10.917,91.096,11.371,-197.509
341.15,42.699,117.088,32.03,31.836,7.461,36.317,19.425,-2.616
341.52,29.395,113.781,38.926,30.362,14.638,20.731,25.148,-1.801
341.9,16.627,104.666,46.641,40.371,13.37,14.754,17.476,-10.704
342.27,-0.171,95.826,48.271,34.631,10.088,13.48,24.716,-10.787
342.65,-14.386,88.013,33.173,28.796,-7.92,16.156,23.717,-4.326
343.03,-7.886,95.094,15.892,36.122,-1.007,20.238,20.281,-10.16
343.4,-9.09,111.765,12.746,15.341,1.529,16.372,12.849,-66.386
343.78,18.642,108.36,16.671,14.113,-10.427,-0.045,-9.381,-95.387
344.15,21.098,108.741,28.454,8.127,-13.133,1.411,-11.017,-97.222
344.53,28.662,109.755,30.484,12.532,-14.13,-15.144,6.439,-59.422
344.9,36.936,113.334,43.949,14.763,-17.579,-28.939,-8.63,-55.515
345.28,45.267,84.672,43.821,15.565,4.678,-42.703,-28.361,-50.972
345.65,32.82,80.813,37.135,0.481,2.52,-40.704,-40.1,-38.752
346.03,28.428,63.794,44.788,0.81,-4.026,-37.532,-37.734,-9.037
346.4,12.181,64.407,45.293,6.325,4.798,-10.962,-22.431,-0.325
346.78,6.22,68.909,36.224,2.201,-13.908,-23.615,-24.275,11.077
347.15,11.757,67.959,22.045,-13.903,-20.793,3.228,-23.14,9.563
347.53,14.147,61.269,14.725,14.707,3.157,14.152,-12.796,6.026
347.9,17.137,53.395,14.871,16.32,8.15,20.569,-0.543,4.564
348.28,18.054,50.017,15.246,16.592,10.604,20.675,6.233,4.45
348.65,18.749,48.783,14.066,16.382,11.08,21.649,8.769,5.138
349.03,17.634,46.773,14.337,15.581,12.358,21.837,8.954,5.353
349.4,17.508,45.524,14.062,15.14,12.924,22.691,9.879,5.508
349.78,17.144,44.545,13.299,15.645,12.657,22.556,9.988,5.546
350.15,17.534,43.337,12.742,14.109,12.267,23.291,10.558,5.825
350.52,17.329,42.76,13.144,13.669,12.242,23.352,10.976,5.727
350.9,16.721,42.189,12.838,13.537,11.724,23.605,10.864,5.667
351.27,17.04,41.979,12.57,13.584,11.847,23.721,11.135,5.603
351.65,17.796,41.915,11.765,13.431,11.253,23.599,11.077,5.676
352.02,18.038,41.543,11.441,14.058,11.071,23.749,10.568,4.81
352.4,18.056,41.507,12.758,13.783,11.524,23.645,10.699,4.793
352.77,17.252,41.894,12.807,13.957,11.378,23.677,10.399,5.368
353.14,17.692,41.377,12.245,14.301,10.901,24.186,10.242,5.44
353.52,18.023,41.397,11.859,13.886,11.174,24.63,10.226,5.648
353.89,17.618,40.916,12.093,13.41,11.025,24.583,9.545,5.434
354.27,16.91,40.384,12.79,13.879,11.215,25.19,9.939,5.331
354.64,17.038,39.842,12.192,13.975,11.511,25.096,9.465,5.776
355.02,17.23,39.489,12.265,13.951,11.441,25.82,9.913,5.868
355.39,17.73,38.796,12.053,14.201,11.482,26.157,9.929,5.423
355.76,16.906,38.194,11.825,14.028,11.545,25.933,10.358,5.441
356.14,16.611,37.863,12.393,14.106,11.957,25.579,10.111,4.964
356.51,16.431,37.405,11.564,14.356,12.348,26.142,10.635,4.651
356.89,16.702,37.162,11.092,14.137,12.398,25.785,10.844,4.23
357.26,16.341,36.758,12.059,14.135,12.118,26.209,11.212,4.878
357.63,15.761,36.888,11.774,14.368,11.949,26.275,10.866,4.766
358.01,15.463,36.251,11.902,14.141,11.823,26.076,10.997,4.8
358.38,15.607,36.149,11.92,14.273,11.881,26.374,10.81,5.124
358.75,15.377,35.739,11.847,14.696,11.887,26.464,11.337,5.231
359.13,15.522,35.263,12.434,14.63,11.781,25.964,10.931,5.615
359.5,15.055,34.889,12.667,14.845,11.897,26.596,10.569,6.047
359.87,15.311,35.074,12.471,14.738,12.185,26.461,10.814,5.714
360.25,15.629,34.383,12.031,14.126,12.501,26.314,10.564,5.817
360.62,15.639,34.809,11.95,14.283,12.81,26.188,10.736,5.476
361,15.387,34.449,11.763,14.028,12.945,26.526,10.819,4.971
361.37,15.445,33.858,11.152,13.38,12.414,26.826,10.835,4.725
361.74,14.652,33.766,10.956,12.93,12.26,26.974,11.014,4.765
362.11,14.266,33.783,11.074,12.414,12.252,26.854,11.062,4.744
362.49,13.697,33.527,11.275,11.901,12.677,26.845,11.355,4.392
362.86,12.969,33.632,11.621,11.975,12.315,26.731,11.766,4.552
363.23,12.693,33.533,11.64,11.972,12.03,26.664,11.892,4.945
363.61,12.678,33.938,11.709,11.603,12.154,26.574,12.181,5.094
363.98,12.633,33.989,11.785,11.662,12.289,26.371,12.088,5.276
364.35,13.366,33.265,11.626,11.512,12.64,26.753,11.953,5.377
364.73,13.852,32.843,11.205,11.326,12.58,26.439,11.945,5.487
365.1,14.251,32.446,10.751,11.319,12.085,26.624,11.532,5.982
365.47,14.829,31.925,10.475,11.133,12.217,26.576,11.272,5.723
365.85,15.474,31.672,10.533,11.151,12.169,26.989,11.111,5.972
366.22,16.282,31.394,10.793,11.238,12.249,26.762,11.016,5.928
366.59,17.178,31.098,11.246,11.089,12.313,26.637,10.947,6.106
366.96,17.321,31.245,11.12,11.347,12.097,26.208,11.058,6.198
367.34,18.222,31.185,11.074,11.612,12.021,26.374,11.544,6.432
367.71,18.667,31.181,11.265,11.926,12.053,26.368,11.851,6.008
368.08,19.183,30.862,11.236,12.13,11.94,26.241,12.128,6.267
368.45,19.552,30.577,11.271,11.694,12.408,25.804,12.337,5.823
368.83,19.877,30.274,11.397,11.767,12.028,25.891,12.461,6.156
369.2,20.098,30.501,11.206,11.818,11.887,26.065,12.26,5.872
369.57,20.463,30.635,11.38,11.804,12.022,26.337,12.174,5.763
369.94,20.456,30.249,11.083,11.755,11.92,26.252,11.787,5.515
370.32,20.566,29.942,11.235,11.394,11.81,26.127,11.759,5.384
