EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
360.15,-0.54819,-0.55443,-0.57598,-0.60837,-0.61159,-0.58722
360.52,-0.5286,-0.5366,-0.57115,-0.60641,-0.60091,-0.56891
360.9,-0.51837,-0.52057,-0.55676,-0.59912,-0.58286,-0.54606
361.27,-0.51402,-0.53586,-0.56462,-0.60089,-0.5821,-0.53622
361.65,-0.48568,-0.51386,-0.51674,-0.55684,-0.55591,-0.51432
362.02,-0.44056,-0.48928,-0.48956,-0.51729,-0.52508,-0.49201
362.4,-0.44877,-0.48858,-0.49019,-0.52151,-0.52367,-0.49507
362.77,-0.47688,-0.51511,-0.50449,-0.53939,-0.54724,-0.52199
363.15,-0.47186,-0.52426,-0.49854,-0.54289,-0.54204,-0.51722
363.52,-0.47785,-0.51896,-0.49648,-0.52393,-0.53814,-0.52349
363.9,-0.46273,-0.4904,-0.47834,-0.51757,-0.534,-0.51436
364.27,-0.4742,-0.5054,-0.49394,-0.52964,-0.54297,-0.51078
364.64,-0.48162,-0.49594,-0.47452,-0.53527,-0.52489,-0.50977
365.02,-0.48322,-0.50832,-0.47867,-0.54793,-0.5285,-0.51319
365.39,-0.47442,-0.49123,-0.46989,-0.52924,-0.50769,-0.49879
365.77,-0.45478,-0.46881,-0.45987,-0.49054,-0.49454,-0.49089
366.14,-0.43411,-0.45975,-0.45206,-0.49276,-0.47914,-0.48881
366.52,-0.42898,-0.43273,-0.43519,-0.45257,-0.44312,-0.46875
366.89,-0.43071,-0.43025,-0.44212,-0.44617,-0.4293,-0.46817
367.26,-0.42247,-0.42265,-0.44248,-0.43106,-0.42567,-0.45676
367.64,-0.3893,-0.38871,-0.41228,-0.3898,-0.38993,-0.42109
368.01,-0.37014,-0.38146,-0.39394,-0.38535,-0.38973,-0.3996
368.39,-0.38486,-0.38993,-0.39459,-0.39162,-0.40498,-0.39257
368.76,-0.37225,-0.38095,-0.37787,-0.36242,-0.40454,-0.37055
369.13,-0.3567,-0.38194,-0.36669,-0.36142,-0.40166,-0.36229
369.51,-0.33793,-0.36425,-0.34664,-0.35742,-0.39134,-0.34042
369.88,-0.33629,-0.36411,-0.34203,-0.35396,-0.38495,-0.32984
370.25,-0.31765,-0.35307,-0.32358,-0.34799,-0.37475,-0.31971
370.63,-0.30107,-0.34255,-0.30473,-0.32204,-0.34991,-0.30199
371,-0.27087,-0.31348,-0.28371,-0.30769,-0.3179,-0.28971
371.38,-0.26301,-0.29916,-0.27992,-0.29298,-0.29484,-0.27763
371.75,-0.25678,-0.29535,-0.27245,-0.28991,-0.29441,-0.27297
372.12,-0.24148,-0.27506,-0.26305,-0.26814,-0.28548,-0.27054
372.5,-0.22766,-0.2571,-0.25337,-0.26028,-0.27359,-0.27071
372.87,-0.23958,-0.25666,-0.26806,-0.26981,-0.27725,-0.27785
373.24,-0.23703,-0.24842,-0.26542,-0.26933,-0.27378,-0.28046
