EXMPC,,,
EXMPCHRCfull,,,
Bayer,,,
NA,,,
NA,,,
nm,,,
On Semiconductor TND6114/D Technical Note,,,
Wavelengths,Red,Green,Blue
380,0.02113955,0.005379411,0.008141487
381,0.021295564,0.005668637,0.009152278
382,0.021451577,0.005960432,0.01016307
383,0.021607591,0.006466127,0.011173861
384,0.021763605,0.006971823,0.012184652
385,0.021919618,0.007477518,0.013195444
386,0.022075632,0.007983213,0.014206235
387,0.022231645,0.008488909,0.015217026
388,0.022387659,0.008994604,0.016227818
389,0.022543673,0.009627928,0.018316362
390,0.022699686,0.010483306,0.022280022
391,0.021648463,0.011338683,0.026243682
392,0.020087857,0.01219406,0.030207342
393,0.018527251,0.013049437,0.034171002
394,0.016966645,0.013904815,0.038134662
395,0.015406039,0.014760192,0.042098321
396,0.013845433,0.015615569,0.046061981
397,0.012284827,0.016470946,0.050025641
398,0.010724221,0.017326324,0.053989301
399,0.009163615,0.018181701,0.057952961
400,0.008198441,0.018451602,0.061339111
401,0.007693945,0.018268531,0.06427845
402,0.007189448,0.018085459,0.067217789
403,0.006684952,0.017902387,0.070157129
404,0.006180456,0.017719315,0.073096468
405,0.005675959,0.017536244,0.076035808
406,0.005171463,0.017353172,0.078975147
407,0.004666966,0.0171701,0.081914487
408,0.00416247,0.016987029,0.084853826
409,0.003657974,0.016803957,0.08757494
410,0.003153477,0.016620885,0.09
411,0.002648981,0.016437813,0.09242506
412,0.002405942,0.016254742,0.09485012
413,0.002182054,0.01607167,0.09742521
414,0.001958167,0.015888598,0.100405875
415,0.001734279,0.015705526,0.103386541
416,0.001510392,0.015522455,0.106367206
417,0.001286504,0.015339383,0.109347872
418,0.001062617,0.015167523,0.112328537
419,0.000952717,0.01502381,0.115309203
420,0.0009799,0.014880096,0.118289868
421,0.001007084,0.014736382,0.121270534
422,0.001034267,0.014592669,0.124251199
423,0.001061451,0.014448955,0.127231865
424,0.001088634,0.014305242,0.13021253
425,0.001115818,0.014161528,0.133193195
426,0.001143001,0.014017814,0.136173861
427,0.001170185,0.013874101,0.139154526
428,0.001197368,0.013730387,0.142135192
429,0.001224552,0.013586674,0.145115857
430,0.001251735,0.013594516,0.147586401
431,0.001278919,0.013682958,0.149785654
432,0.001306102,0.0137714,0.151984906
433,0.001333286,0.013859843,0.154184159
434,0.00136047,0.013948285,0.156383411
435,0.001387653,0.014036727,0.158582663
436,0.001414837,0.014125169,0.160781916
437,0.00144202,0.014213612,0.162981168
438,0.001469204,0.014302054,0.16518042
439,0.001496387,0.014390496,0.167379673
440,0.001523571,0.014478939,0.169578925
441,0.001550754,0.014567381,0.171778177
442,0.001577938,0.014655823,0.17397743
