AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
380,0.865601699,0.865601699,0.865601699
381,0.866900455,0.866900455,0.866900455
382,0.86819921,0.86819921,0.86819921
383,0.869497965,0.869497965,0.869497965
384,0.870796721,0.870796721,0.870796721
385,0.872095476,0.872095476,0.872095476
386,0.873394231,0.873394231,0.873394231
387,0.874692987,0.874692987,0.874692987
388,0.875991742,0.875991742,0.875991742
389,0.877290497,0.877290497,0.877290497
390,0.878475802,0.878475802,0.878475802
391,0.878975039,0.878975039,0.878975039
392,0.879474277,0.879474277,0.879474277
393,0.879973514,0.879973514,0.879973514
394,0.880472751,0.880472751,0.880472751
395,0.880971988,0.880971988,0.880971988
396,0.881471226,0.881471226,0.881471226
397,0.881970463,0.881970463,0.881970463
398,0.8824697,0.8824697,0.8824697
399,0.882968937,0.882968937,0.882968937
400,0.883468175,0.883468175,0.883468175
401,0.883967412,0.883967412,0.883967412
402,0.884466649,0.884466649,0.884466649
403,0.884925439,0.884925439,0.884925439
404,0.885129932,0.885129932,0.885129932
405,0.885334426,0.885334426,0.885334426
406,0.885538919,0.885538919,0.885538919
407,0.885743412,0.885743412,0.885743412
408,0.885947905,0.885947905,0.885947905
409,0.886152398,0.886152398,0.886152398
410,0.886356891,0.886356891,0.886356891
411,0.886561384,0.886561384,0.886561384
412,0.886765878,0.886765878,0.886765878
413,0.886970371,0.886970371,0.886970371
414,0.887174864,0.887174864,0.887174864
415,0.887379357,0.887379357,0.887379357
416,0.88758385,0.88758385,0.88758385
417,0.887788343,0.887788343,0.887788343
418,0.887992837,0.887992837,0.887992837
419,0.888198905,0.888198905,0.888198905
420,0.888424498,0.888424498,0.888424498
421,0.888650091,0.888650091,0.888650091
422,0.888875684,0.888875684,0.888875684
423,0.889101277,0.889101277,0.889101277
424,0.889326871,0.889326871,0.889326871
425,0.889552464,0.889552464,0.889552464
426,0.889778057,0.889778057,0.889778057
427,0.89000365,0.89000365,0.89000365
428,0.890229243,0.890229243,0.890229243
429,0.890454836,0.890454836,0.890454836
430,0.890680429,0.890680429,0.890680429
431,0.890906023,0.890906023,0.890906023
432,0.891131616,0.891131616,0.891131616
433,0.891357209,0.891357209,0.891357209
434,0.891596921,0.891596921,0.891596921
435,0.891848578,0.891848578,0.891848578
436,0.892100235,0.892100235,0.892100235
437,0.892351893,0.892351893,0.892351893
438,0.89260355,0.89260355,0.89260355
439,0.892855207,0.892855207,0.892855207
440,0.893106864,0.893106864,0.893106864
441,0.893358522,0.893358522,0.893358522
442,0.893610179,0.893610179,0.893610179
443,0.893861836,0.893861836,0.893861836
444,0.894113493,0.894113493,0.894113493
445,0.89436515,0.89436515,0.89436515
446,0.894616808,0.894616808,0.894616808
447,0.894868465,0.894868465,0.894868465
448,0.895120122,0.895120122,0.895120122
449,0.895371779,0.895371779,0.895371779
450,0.895623436,0.895623436,0.895623436
451,0.895875093,0.895875093,0.895875093
452,0.896126751,0.896126751,0.896126751
453,0.896378408,0.896378408,0.896378408
454,0.896630065,0.896630065,0.896630065
455,0.896881722,0.896881722,0.896881722
456,0.897133379,0.897133379,0.897133379
457,0.897385036,0.897385036,0.897385036
458,0.897636693,0.897636693,0.897636693
459,0.897888351,0.897888351,0.897888351
460,0.89811477,0.89811477,0.89811477
461,0.898319264,0.898319264,0.898319264
462,0.898523757,0.898523757,0.898523757
463,0.89872825,0.89872825,0.89872825
464,0.898932743,0.898932743,0.898932743
465,0.899137236,0.899137236,0.899137236
466,0.89934173,0.89934173,0.89934173
467,0.899546223,0.899546223,0.899546223
468,0.899750716,0.899750716,0.899750716
469,0.899955209,0.899955209,0.899955209
470,0.900159703,0.900159703,0.900159703
471,0.900364196,0.900364196,0.900364196
472,0.900568689,0.900568689,0.900568689
473,0.900773182,0.900773182,0.900773182
474,0.900977675,0.900977675,0.900977675
475,0.901182169,0.901182169,0.901182169
476,0.901371507,0.901371507,0.901371507
477,0.901543928,0.901543928,0.901543928
478,0.901716348,0.901716348,0.901716348
479,0.901888769,0.901888769,0.901888769
480,0.902061189,0.902061189,0.902061189
481,0.90223361,0.90223361,0.90223361
482,0.90240603,0.90240603,0.90240603
483,0.902578451,0.902578451,0.902578451
484,0.902750872,0.902750872,0.902750872
485,0.902923292,0.902923292,0.902923292
486,0.903095713,0.903095713,0.903095713
487,0.903268133,0.903268133,0.903268133
488,0.903440554,0.903440554,0.903440554
489,0.903612974,0.903612974,0.903612974
490,0.903785395,0.903785395,0.903785395
491,0.903957816,0.903957816,0.903957816
492,0.904130236,0.904130236,0.904130236
493,0.904302657,0.904302657,0.904302657
494,0.904475077,0.904475077,0.904475077
495,0.904510739,0.904510739,0.904510739
496,0.904293154,0.904293154,0.904293154
497,0.904075569,0.904075569,0.904075569
498,0.903857985,0.903857985,0.903857985
499,0.9036404,0.9036404,0.9036404
500,0.903422815,0.903422815,0.903422815
501,0.90320523,0.90320523,0.90320523
502,0.902987646,0.902987646,0.902987646
503,0.902770061,0.902770061,0.902770061
504,0.902552476,0.902552476,0.902552476
505,0.902334891,0.902334891,0.902334891
506,0.902117307,0.902117307,0.902117307
507,0.901899722,0.901899722,0.901899722
508,0.901682137,0.901682137,0.901682137
509,0.901464553,0.901464553,0.901464553
510,0.900811758,0.900811758,0.900811758
511,0.900063723,0.900063723,0.900063723
512,0.899315688,0.899315688,0.899315688
513,0.898567654,0.898567654,0.898567654
514,0.897819619,0.897819619,0.897819619
515,0.897071584,0.897071584,0.897071584
516,0.896323549,0.896323549,0.896323549
517,0.895575514,0.895575514,0.895575514
518,0.89482748,0.89482748,0.89482748
519,0.894079445,0.894079445,0.894079445
520,0.89333141,0.89333141,0.89333141
521,0.892583375,0.892583375,0.892583375
522,0.89183534,0.89183534,0.89183534
523,0.891087306,0.891087306,0.891087306
524,0.890339271,0.890339271,0.890339271
525,0.889591236,0.889591236,0.889591236
526,0.888843201,0.888843201,0.888843201
527,0.888095166,0.888095166,0.888095166
528,0.887347132,0.887347132,0.887347132
529,0.886599097,0.886599097,0.886599097
530,0.885851062,0.885851062,0.885851062
531,0.884870317,0.884870317,0.884870317
532,0.883557921,0.883557921,0.883557921
533,0.882245526,0.882245526,0.882245526
534,0.880933131,0.880933131,0.880933131
535,0.879620736,0.879620736,0.879620736
536,0.878308341,0.878308341,0.878308341
537,0.876995946,0.876995946,0.876995946
538,0.875683551,0.875683551,0.875683551
539,0.874371156,0.874371156,0.874371156
540,0.873058761,0.873058761,0.873058761
541,0.871746366,0.871746366,0.871746366
542,0.870433971,0.870433971,0.870433971
543,0.868977638,0.868977638,0.868977638
544,0.866874684,0.866874684,0.866874684
545,0.864771729,0.864771729,0.864771729
546,0.862668775,0.862668775,0.862668775
547,0.860565821,0.860565821,0.860565821
548,0.858462866,0.858462866,0.858462866
549,0.856359912,0.856359912,0.856359912
550,0.854256958,0.854256958,0.854256958
551,0.852154003,0.852154003,0.852154003
552,0.850051049,0.850051049,0.850051049
553,0.847948094,0.847948094,0.847948094
554,0.845452291,0.845452291,0.845452291
555,0.842537955,0.842537955,0.842537955
556,0.83962362,0.83962362,0.83962362
557,0.836709284,0.836709284,0.836709284
558,0.833794948,0.833794948,0.833794948
559,0.830880612,0.830880612,0.830880612
560,0.827966276,0.827966276,0.827966276
561,0.82505194,0.82505194,0.82505194
562,0.822137604,0.822137604,0.822137604
