Wavelengths,LP2
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,6.004582890090006e-06
527,0.0
528,0.0
529,0.0
530,3.567007241273425e-05
531,0.00014422975132191866
532,0.00016110504207124274
533,0.00033282215122829744
534,0.00043875758949860104
535,0.0007280164368285838
536,0.0008082636167725215
537,0.0009684836760181748
538,0.0011850573185533053
539,0.0013436722327518503
540,0.001389866846759567
541,0.0013255572259992315
542,0.0013136153776816268
543,0.0013935035113484475
544,0.001531026104530351
545,0.0016008288555730411
546,0.001666065312421681
547,0.001717977579768624
548,0.0017883582192831148
549,0.0018210454660655107
550,0.0018859824890493093
551,0.001904857783910146
552,0.001907532342221036
553,0.0020899021177147523
554,0.0024142925139199593
555,0.0027837305748143566
556,0.0032705699582355565
557,0.0040539154925603735
558,0.005321931175334994
559,0.007998343253724881
560,0.01680634765463518
561,0.05695161105714595
562,0.20724848102975113
563,0.49491809533040493
564,0.7796562449236392
565,0.9317636656420286
566,0.9797943089641549
567,0.995812174064698
568,1.0
569,0.9965076266063113
570,0.9883632631193462
571,0.9616803527948221
