AUPE,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
360.1499939,-5.453390121,-5.53564024,-5.614120007,-5.75908041,-6.217609882,-5.251879692
360.519989,-5.87432003,-5.899019718,-6.074099541,-6.135489941,-6.622589588,-5.676350117
360.8999939,-4.886350155,-5.021310329,-5.254789829,-5.138669968,-5.603770256,-4.890669823
361.269989,-4.448740005,-4.569749832,-4.830249786,-4.666669846,-5.145939827,-4.504760265
361.6499939,-3.894809961,-3.989379883,-4.167409897,-4.073830128,-4.454569817,-3.952349901
362.019989,-3.834059954,-3.848839998,-4.110219955,-4.039000034,-4.38808012,-3.887349844
362.3999939,-3.666510105,-3.696780205,-3.972069979,-3.89064002,-4.128370285,-3.768129826
362.769989,-3.628849983,-3.697849989,-3.960180044,-3.927529812,-4.106040001,-3.738369942
363.1499939,-3.588089943,-3.780020237,-3.98725009,-3.923969984,-4.095039845,-3.784190178
363.519989,-3.728399992,-3.917639971,-4.089739799,-4.05880022,-4.177340031,-3.892640114
363.8999939,-3.604549885,-3.850840092,-3.90357995,-3.977699995,-4.064129829,-3.775559902
364.269989,-3.96668005,-4.148080349,-4.203710079,-4.332250118,-4.456530094,-4.187669754
364.6400146,-3.788919926,-3.980900049,-3.946700096,-4.110849857,-4.214620113,-3.950239897
365.019989,-3.841799974,-3.992280006,-3.940560102,-4.211790085,-4.29956007,-3.996489763
365.3900146,-3.63684988,-3.75612998,-3.705539942,-3.987190008,-4.085929871,-3.768059969
365.769989,-3.321089983,-3.376679897,-3.372269869,-3.689140081,-3.74052,-3.481040001
366.1400146,-3.117539883,-3.150959969,-3.147390127,-3.452120066,-3.537179947,-3.256289959
366.519989,-2.774129868,-2.785079956,-2.818930149,-3.071419954,-3.138789892,-2.921849966
366.8900146,-2.497189999,-2.537889957,-2.60729003,-2.759449959,-2.842820168,-2.591340065
367.2600098,-2.261569977,-2.297290087,-2.398049831,-2.471580029,-2.592909813,-2.33871007
367.6400146,-1.964370012,-1.993710041,-2.085070133,-2.107749939,-2.2474401,-1.989400029
368.0100098,-1.75977993,-1.783580065,-1.908849955,-1.896499991,-2.020859957,-1.786419988
368.3900146,-1.621439934,-1.659519911,-1.767149925,-1.744750023,-1.878829956,-1.635519981
368.7600098,-1.51959002,-1.552709937,-1.678410053,-1.656810045,-1.748690009,-1.544330001
369.1300049,-1.501439929,-1.532769918,-1.669010043,-1.640160084,-1.734850049,-1.551120043
369.5100098,-1.45231998,-1.513910055,-1.616889954,-1.607220054,-1.69058001,-1.513130069
369.8800049,-1.366820097,-1.438249946,-1.49616003,-1.540659904,-1.546210051,-1.410489917
370.25,-1.302520037,-1.389479995,-1.439770103,-1.496690035,-1.475389957,-1.356869936
370.6300049,-1.232249975,-1.349259973,-1.358719945,-1.396450043,-1.390799999,-1.29768002
371,-1.213880062,-1.355430007,-1.356690049,-1.388379931,-1.367390037,-1.287539959
371.3800049,-1.157240033,-1.286880016,-1.276370049,-1.304759979,-1.280610085,-1.207430005
371.75,-1.091340065,-1.242110014,-1.203469992,-1.240100026,-1.196670055,-1.100090027
372.1199951,-1.03757,-1.160319924,-1.15941,-1.180790067,-1.147590041,-1.042840004
372.5,-1.033119917,-1.152279973,-1.166309953,-1.175339937,-1.162969947,-1.035830021
372.8699951,-1.0352,-1.136989951,-1.161139965,-1.164759994,-1.160049915,-1.040179968
373.2399902,-1.034690022,-1.114449978,-1.150529981,-1.172999978,-1.153970003,-1.031119943
373.6199951,-1.026100039,-1.094380021,-1.122769952,-1.143190026,-1.137710094,-0.992470026
373.9899902,-0.991729975,-1.06317997,-1.083010077,-1.102100015,-1.108999968,-0.968469977
374.3599854,-0.929719985,-0.99792999,-1.015660048,-1.029729962,-1.044450045,-0.916539967
374.7399902,-0.871890008,-0.946500003,-0.939480007,-0.966200054,-0.979170024,-0.869520009
375.1099854,-0.821309984,-0.883069992,-0.89169997,-0.903730035,-0.925790012,-0.838949978
375.480011,-0.79400003,-0.858179986,-0.863679945,-0.879759967,-0.901139975,-0.821550012
375.8599854,-0.754040003,-0.81791997,-0.812180042,-0.816359997,-0.849430025,-0.773620009
376.230011,-0.701190054,-0.756389976,-0.74466002,-0.757200003,-0.792539954,-0.732730031
376.6000061,-0.664759994,-0.72446996,-0.711780012,-0.720879972,-0.755540013,-0.694999993
376.980011,-0.669089973,-0.715250015,-0.709190011,-0.727620006,-0.750589967,-0.704869986
377.3500061,-0.657870054,-0.702610016,-0.689639986,-0.704940021,-0.722609997,-0.683389962
377.7200012,-0.625849962,-0.679870009,-0.652469993,-0.677850008,-0.691429973,-0.648509979
378.1000061,-0.601220012,-0.647799969,-0.620899975,-0.650260031,-0.659300029,-0.621769965
378.4700012,-0.594380021,-0.646859944,-0.620540023,-0.652429938,-0.661660016,-0.619220018
378.8399963,-0.590349972,-0.645839989,-0.62221998,-0.64952004,-0.653439999,-0.615660012
379.2200012,-0.571129978,-0.614910007,-0.58851999,-0.627330005,-0.635879993,-0.602809966
379.5899963,-0.543049991,-0.593569994,-0.56329,-0.588440001,-0.614279985,-0.576189995
379.9599915,-0.524179995,-0.572549999,-0.542280018,-0.571850002,-0.602429986,-0.558099985
380.3299866,-0.528240025,-0.561930001,-0.550009966,-0.57506001,-0.602410018,-0.55697
380.7099915,-0.495439976,-0.548200011,-0.528639972,-0.543269992,-0.574059963,-0.524789989
381.0799866,-0.473699987,-0.527589977,-0.517170012,-0.519370019,-0.552680016,-0.503539979
381.4500122,-0.456160009,-0.496120006,-0.496829987,-0.503480017,-0.534089983,-0.482659996
381.8299866,-0.452939987,-0.497750014,-0.506630003,-0.504840016,-0.530200005,-0.475029975
382.2000122,-0.444879979,-0.477229983,-0.488409996,-0.492570013,-0.517019987,-0.456860006
382.5700073,-0.43520999,-0.470880002,-0.484290004,-0.485980004,-0.507960021,-0.446930021
382.9400024,-0.427960008,-0.472299993,-0.475410014,-0.476810008,-0.502979994,-0.442210019
383.3200073,-0.437209994,-0.461679995,-0.468219995,-0.468879998,-0.50037998,-0.447400004
383.6900024,-0.429339975,-0.439339995,-0.44641,-0.454129994,-0.477319986,-0.437240005
384.0599976,-0.410210013,-0.418669999,-0.426609993,-0.424250007,-0.453619987,-0.410899997
384.4299927,-0.392200023,-0.395040005,-0.400539994,-0.405089974,-0.433889985,-0.392960012
384.8099976,-0.383240014,-0.391980022,-0.39230001,-0.396559983,-0.421860009,-0.387529969
385.1799927,-0.36807999,-0.371590018,-0.375400007,-0.381029993,-0.402389973,-0.377120018
385.5499878,-0.357299984,-0.358960003,-0.363709986,-0.366530001,-0.382840008,-0.365670025
385.9200134,-0.350639999,-0.351689994,-0.362430006,-0.363810003,-0.369430006,-0.360139996
386.2999878,-0.337070018,-0.350320011,-0.354380012,-0.362410009,-0.358149976,-0.353100002
386.6700134,-0.331180006,-0.34928,-0.349490017,-0.362459987,-0.34721002,-0.355069995
387.0400085,-0.30983001,-0.334609985,-0.333600014,-0.340070009,-0.316579998,-0.336739987
387.4100037,-0.305310011,-0.328400016,-0.330469996,-0.334620029,-0.295049995,-0.327869982
387.7799988,-0.300599992,-0.321699977,-0.326850027,-0.325320005,-0.266749978,-0.315519989
388.1600037,-0.286599994,-0.307520002,-0.313160002,-0.31318,-0.229880005,-0.30083999
388.5299988,-0.268629998,-0.290399998,-0.294059992,-0.295709997,-0.195580006,-0.283100009
388.8999939,-0.27087,-0.292809993,-0.297879994,-0.291110009,-0.164389998,-0.284729987
389.269989,-0.267030001,-0.288439989,-0.294890016,-0.285620004,-0.121890001,-0.275860012
389.6499939,-0.26989001,-0.284539998,-0.292560011,-0.285079986,-0.081969999,-0.276580006
390.019989,-0.251259983,-0.266589999,-0.275000006,-0.264679998,-0.02217,-0.258269995
390.3900146,-0.24402,-0.258260012,-0.268449992,-0.258549988,0.025359999,-0.252880007
390.7600098,-0.238789991,-0.252999991,-0.26286,-0.248960003,0.069629997,-0.246619999
391.1300049,-0.235489994,-0.252600014,-0.26304999,-0.249880016,0.119160004,-0.242579997
391.5,-0.227679998,-0.234909996,-0.245269999,-0.239610001,0.164810002,-0.228640005
391.8800049,-0.21886,-0.228110015,-0.238230005,-0.232689992,0.20081,-0.225219995
392.25,-0.216179997,-0.22725001,-0.236949995,-0.230910003,0.227520004,-0.221930012
392.6199951,-0.218500003,-0.227259994,-0.238250002,-0.233840004,0.241590008,-0.22815001
392.9899902,-0.215939999,-0.225759998,-0.232150003,-0.230839998,0.262430012,-0.223089993
393.3599854,-0.211970001,-0.223969996,-0.224769995,-0.228320003,0.274509996,-0.222280011
393.730011,-0.210490003,-0.223309994,-0.220310003,-0.224669993,0.277130008,-0.218270004
394.1099854,-0.205170006,-0.222460002,-0.217490003,-0.22044,0.281499982,-0.212689996
394.480011,-0.20059,-0.218649998,-0.211840004,-0.215680003,0.282680005,-0.208829999
394.8500061,-0.197029993,-0.216279998,-0.20826,-0.213780001,0.284119993,-0.203460008
395.2200012,-0.192949995,-0.213530004,-0.20502001,-0.207549989,0.286089987,-0.200489998
395.5899963,-0.188829988,-0.208849996,-0.199540004,-0.201560006,0.284750015,-0.197250009
395.9599915,-0.184139997,-0.201710001,-0.195629999,-0.197269991,0.288080007,-0.189939991
396.3299866,-0.180720001,-0.195470005,-0.193080008,-0.192680001,0.294679999,-0.188209996
396.7099915,-0.175720006,-0.188500002,-0.188309997,-0.183190003,0.296519995,-0.183960006
397.0799866,-0.175930008,-0.185379997,-0.18423,-0.172940001,0.304260015,-0.179869995
397.4500122,-0.163399994,-0.170110002,-0.169379994,-0.147370011,0.320969999,-0.164820001
397.8200073,-0.158690006,-0.165340006,-0.162670001,-0.135649994,0.333819985,-0.159020007
398.1900024,-0.155560002,-0.162520006,-0.158710003,-0.11727,0.345009983,-0.156899989
398.5599976,-0.155890003,-0.160160005,-0.155479997,-0.093149997,0.362700015,-0.153339997
398.9299927,-0.151199996,-0.159510002,-0.151899993,-0.067589998,0.379910022,-0.149980009
399.2999878,-0.148149997,-0.156990007,-0.148330003,-0.035250001,0.407770008,-0.145679995
399.6799927,-0.146510005,-0.156220004,-0.148019999,-0.00276,0.438650012,-0.143820003
400.0499878,-0.150739998,-0.161380008,-0.156420007,0.02727,0.469770014,-0.15174
400.4200134,-0.147809997,-0.157220006,-0.155230001,0.070749998,0.511520028,-0.148000002
400.7900085,-0.142080009,-0.148959994,-0.151490003,0.115589999,0.562430024,-0.141660005
401.1600037,-0.139640003,-0.150179997,-0.150399998,0.152150005,0.609669983,-0.143000007
401.5299988,-0.135200009,-0.144060001,-0.14542,0.193379998,0.659769952,-0.139200002
401.8999939,-0.131449997,-0.141589999,-0.143749997,0.226819992,0.705390036,-0.137810007
402.269989,-0.127080008,-0.133870006,-0.138610005,0.255100012,0.745319963,-0.134829998
402.6400146,-0.126959994,-0.135389999,-0.137589991,0.279870003,0.782440007,-0.133269995
403.0100098,-0.127360001,-0.136289999,-0.13793999,0.297439992,0.810090005,-0.1338
403.3800049,-0.128729999,-0.139180005,-0.137510002,0.314159989,0.826900005,-0.136199996
403.75,-0.122259997,-0.132729992,-0.133629993,0.334070027,0.84047997,-0.130600005
404.1199951,-0.120810002,-0.128509998,-0.129069999,0.346640021,0.847600043,-0.128749996
404.5,-0.122279994,-0.127599999,-0.126409993,0.359530002,0.84987998,-0.127510011
404.8699951,-0.119709998,-0.127739996,-0.122050002,0.37609002,0.851989985,-0.124949999
